frame_idx,timestamp_ms,bone_name,start_joint,end_joint,confidence,human_delta_deg,applied_angle_deg,target_x,target_y,target_z
35,1166.0,leg_joint_L_1,left_hip,left_knee,0.8381,30.0542,30.0542,-0.08942,-0.30385,-0.94851
35,1166.0,leg_joint_L_2,left_knee,left_ankle,0.8381,97.9721,97.9721,0.2755,-0.79168,-0.5453
35,1166.0,leg_joint_R_1,right_hip,right_knee,0.7837,23.8297,23.8297,0.07786,-0.21591,-0.9733
35,1166.0,leg_joint_R_2,right_knee,right_ankle,0.7837,81.9058,81.9058,0.06593,-0.55963,-0.82612
35,1166.0,Skeleton_torso_joint_1,__mid_hip__,__mid_sho__,0.9932,89.7188,89.7188,-0.06303,0.76755,0.63788
40,1333.0,Skeleton_arm_joint_L__4_,left_shoulder,left_elbow,0.5738,56.2348,56.2348,0.59326,-0.11124,0.79728
40,1333.0,Skeleton_arm_joint_L__3_,left_elbow,left_wrist,0.522,157.375,157.375,0.60123,-0.75434,-0.26363
40,1333.0,Skeleton_arm_joint_R,right_shoulder,right_elbow,0.5727,108.6765,108.6765,0.57797,-0.57583,0.57824
40,1333.0,Skeleton_arm_joint_R__2_,right_elbow,right_wrist,0.4837,109.2947,109.2947,0.59668,-0.03452,0.80174
40,1333.0,leg_joint_L_1,left_hip,left_knee,0.8694,33.5855,33.5855,0.22463,-0.34057,-0.91299
40,1333.0,leg_joint_L_2,left_knee,left_ankle,0.8639,118.3678,118.3678,0.61973,-0.78093,-0.07801
40,1333.0,leg_joint_R_1,right_hip,right_knee,0.7925,12.9021,12.9021,0.32626,-0.27148,-0.90546
40,1333.0,leg_joint_R_2,right_knee,right_ankle,0.7925,93.4558,93.4558,0.42637,-0.62758,-0.65143
40,1333.0,Skeleton_torso_joint_1,__mid_hip__,__mid_sho__,0.9954,103.2995,103.2995,-0.20713,0.89659,0.39145
45,1500.0,Skeleton_arm_joint_L__4_,left_shoulder,left_elbow,0.6661,28.1742,28.1742,0.83203,0.33288,0.44375
45,1500.0,Skeleton_arm_joint_L__3_,left_elbow,left_wrist,0.5971,143.8977,143.8977,0.32602,-0.67164,-0.66529
45,1500.0,Skeleton_arm_joint_R,right_shoulder,right_elbow,0.4897,63.7074,63.7074,0.85882,0.49571,0.12926
45,1500.0,Skeleton_arm_joint_R__2_,right_elbow,right_wrist,0.4897,104.9488,104.9488,0.78364,-0.37442,-0.4957
