frame_idx,timestamp_ms,root_x,root_y,root_z,nose_x,nose_y,nose_z,nose_v,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_v,left_eye_x,left_eye_y,left_eye_z,left_eye_v,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_v,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_v,right_eye_x,right_eye_y,right_eye_z,right_eye_v,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_v,left_ear_x,left_ear_y,left_ear_z,left_ear_v,right_ear_x,right_ear_y,right_ear_z,right_ear_v,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_v,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_v,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_v,left_index_x,left_index_y,left_index_z,left_index_v,right_index_x,right_index_y,right_index_z,right_index_v,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_v,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,left_knee_x,left_knee_y,left_knee_z,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_v,left_heel_x,left_heel_y,left_heel_z,left_heel_v,right_heel_x,right_heel_y,right_heel_z,right_heel_v,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_v,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_v
47,1566,0.470179,0.536722,-0.000149,-0.284854,-0.131155,-0.053286,0.9383,-0.30931,-0.137904,-0.065826,0.9421,-0.309469,-0.138021,-0.065409,0.9365,-0.309747,-0.138266,-0.064549,0.9419,-0.298455,-0.142332,-0.058187,0.9457,-0.298639,-0.142659,-0.059333,0.9431,-0.299707,-0.143158,-0.058398,0.9464,-0.315086,-0.144432,-0.090838,0.9571,-0.27618,-0.165383,-0.071407,0.9575,-0.274659,-0.13569,-0.058729,0.9674,-0.261348,-0.139805,-0.053264,0.9584,-0.235797,-0.115335,-0.098255,0.9985,-0.209743,-0.131986,-0.034361,0.9972,-0.126117,-0.159907,-0.205426,0.6081,-0.126162,-0.108122,-0.186041,0.4679,-0.097812,-0.121173,-0.188661,0.5125,-0.087285,-0.08353,-0.167466,0.4673,-0.158289,-0.070034,-0.162032,0.4976,-0.149741,-0.100869,-0.086846,0.4529,-0.167198,-0.071958,-0.168805,0.4933,-0.031757,-0.21037,-0.141662,0.4643,-0.078914,-0.135858,-0.228263,0.4843,-0.044128,-0.164494,-0.185725,0.4579,0.008727,-0.008362,-0.030455,0.9997,-0.00938,0.007796,0.032079,0.9995,0.039685,0.268727,0.003638,0.9105,0.038156,0.2556,0.056278,0.7925,0.180698,0.379716,0.04289,0.8712,0.170489,0.431268,0.096752,0.8283,0.199677,0.396332,0.051892,0.8599,0.175267,0.46658,0.108191,0.8159,0.192617,0.451737,0.004737,0.8449,0.168077,0.535458,0.070941,0.8209
48,1600,0.449759,0.517706,-0.000286,-0.253696,-0.149347,0.001218,0.9374,-0.277227,-0.157567,-0.007815,0.9426,-0.277557,-0.15756,-0.007738,0.9367,-0.277675,-0.157904,-0.006597,0.9422,-0.266761,-0.162479,-0.004417,0.9474,-0.266943,-0.16285,-0.005735,0.945,-0.267961,-0.163395,-0.004656,0.9476,-0.291736,-0.159997,-0.026813,0.9585,-0.254818,-0.182063,-0.027213,0.9596,-0.247723,-0.151395,-0.001654,0.9647,-0.23537,-0.155616,-0.002532,0.9553,-0.230205,-0.113152,-0.039987,0.9985,-0.199646,-0.148255,-0.00684,0.9974,-0.130606,-0.136258,-0.170279,0.6414,-0.126162,-0.108122,-0.186041,0.4857,-0.104718,-0.084719,-0.164441,0.5551,-0.087285,-0.08353,-0.167466,0.4909,-0.162534,-0.012263,-0.127463,0.5391,-0.149741,-0.100869,-0.086846,0.4757,-0.172525,-0.014913,-0.132943,0.535,-0.031757,-0.21037,-0.141662,0.4862,-0.09198,-0.077415,-0.186831,0.5232,-0.044128,-0.164494,-0.185725,0.4753,0.004737,-0.004111,-0.021067,0.9997,-0.00535,0.003525,0.022708,0.9996,0.039252,0.286258,0.007256,0.9092,0.045305,0.262329,0.04443,0.8101,0.174597,0.415813,0.040579,0.857,0.165908,0.452981,0.074442,0.8371,0.193461,0.434168,0.048234,0.8492,0.17006,0.489824,0.08438,0.8319,0.187043,0.491826,0.003066,0.8323,0.165466,0.558643,0.046477,0.8307
49,1633,0.430237,0.515413,-5.8e-05,-0.223894,-0.176393,0.039875,0.941,-0.245073,-0.187284,0.034172,0.9464,-0.245599,-0.187152,0.034081,0.9407,-0.245561,-0.187645,0.035409,0.9465,-0.235643,-0.191865,0.033725,0.9509,-0.23589,-0.192185,0.032374,0.9483,-0.236845,-0.192836,0.033473,0.951,-0.266086,-0.189612,0.022575,0.9609,-0.235494,-0.208655,0.00381,0.9621,-0.222155,-0.177314,0.040185,0.9658,-0.211972,-0.180368,0.033725,0.9557,-0.218503,-0.127208,0.014022,0.9985,-0.19135,-0.170679,0.011005,0.9976,-0.126427,-0.130062,-0.136895,0.5783,-0.104962,-0.135288,-0.161169,0.5306,-0.094647,-0.082619,-0.144014,0.5023,-0.053784,-0.107249,-0.168076,0.5333,-0.162534,-0.012263,-0.127463,0.4903,-0.095551,-0.125336,-0.104011,0.5199,-0.172525,-0.014913,-0.132943,0.4863,0.004093,-0.220807,-0.144942,0.5295,-0.09198,-0.077415,-0.186831,0.4762,-0.012457,-0.178023,-0.181294,0.5166,0.003687,-0.000526,-0.008865,0.9996,-0.004315,-7.5e-05,0.010569,0.9995,0.041182,0.299738,0.013258,0.8765,0.050437,0.270436,0.030395,0.8249,0.167369,0.447929,0.03943,0.8104,0.159547,0.474985,0.047411,0.8483,0.184787,0.469241,0.045531,0.8189,0.162461,0.513112,0.056094,0.8465,0.182248,0.529354,0.001458,0.7897,0.161612,0.581768,0.016838,0.8415
50,1666,0.424709,0.505849,7e-05,-0.193945,-0.203703,0.070488,0.9468,-0.212284,-0.217393,0.068283,0.9517,-0.21296,-0.217167,0.068127,0.9465,-0.212777,-0.217817,0.069576,0.9518,-0.20519,-0.221487,0.065253,0.9557,-0.205465,-0.221815,0.063926,0.9534,-0.206363,-0.222554,0.065029,0.9559,-0.236854,-0.220829,0.068978,0.9646,-0.216968,-0.23676,0.036735,0.9659,-0.194705,-0.203945,0.075144,0.9691,-0.188072,-0.205866,0.064608,0.96,-0.193214,-0.150156,0.066468,0.9985,-0.186167,-0.190512,0.030059,0.9979,-0.113691,-0.134586,-0.106112,0.524,-0.099195,-0.142525,-0.151505,0.574,-0.094647,-0.082619,-0.144014,0.4672,-0.041671,-0.116066,-0.165826,0.5777,-0.162534,-0.012263,-0.127463,0.4637,-0.077148,-0.132292,-0.105841,0.5643,-0.172525,-0.014913,-0.132943,0.4599,0.016529,-0.223923,-0.143354,0.5729,-0.09198,-0.077415,-0.186831,0.4505,-0.002154,-0.182713,-0.178694,0.5586,0.010917,0.00231,0.000321,0.9997,-0.011536,-0.002931,0.001427,0.9995,0.044746,0.311144,0.011795,0.8838,0.043475,0.277599,0.012465,0.8417,0.160843,0.477389,0.028281,0.8252,0.137819,0.495129,0.015265,0.8626,0.176915,0.501304,0.032115,0.8287,0.139617,0.534232,0.021934,0.8592,0.178504,0.563124,-0.01778,0.8077,0.142337,0.602913,-0.023904,0.8567
51,1700,0.421109,0.494033,2e-05,-0.154956,-0.233774,0.093816,0.9521,-0.168448,-0.250173,0.0928,0.9565,-0.169251,-0.249883,0.092671,0.9518,-0.168916,-0.250703,0.094129,0.9566,-0.164935,-0.255297,0.088069,0.9602,-0.165241,-0.25562,0.086786,0.9581,-0.165997,-0.256466,0.087858,0.9603,-0.194137,-0.254505,0.109015,0.9681,-0.189185,-0.274201,0.065975,0.9693,-0.157911,-0.232838,0.099659,0.9721,-0.156151,-0.23558,0.086795,0.964,-0.15446,-0.169872,0.107616,0.9984,-0.180633,-0.219086,0.051258,0.9981,-0.093102,-0.136527,-0.081536,0.5455,-0.102073,-0.153941,-0.140374,0.6128,-0.061719,-0.101888,-0.118384,0.5137,-0.034392,-0.129542,-0.162179,0.6154,-0.111242,-0.046675,-0.104151,0.5081,-0.062024,-0.142899,-0.107467,0.5973,-0.121439,-0.053139,-0.104807,0.5037,0.026809,-0.229651,-0.140736,0.6036,-0.09198,-0.077415,-0.186831,0.4925,0.004069,-0.190996,-0.173994,0.5844,0.018453,0.004851,0.00841,0.9993,-0.019053,-0.005482,-0.006628,0.9995,0.040103,0.323471,0.01221,0.8679,0.038671,0.284124,-0.009738,0.8535,0.130476,0.50344,0.01833,0.8233,0.118731,0.518956,-0.025241,0.8721,0.144503,0.529237,0.020386,0.8228,0.116578,0.559084,-0.02078,0.8634,0.152627,0.591179,-0.0328,0.8146,0.141565,0.623053,-0.074516,0.8635
52,1733,0.413351,0.495706,-8.3e-05,-0.112298,-0.267987,0.05856,0.9561,-0.121654,-0.287139,0.059805,0.9594,-0.122554,-0.286753,0.059908,0.955,-0.122062,-0.287734,0.061053,0.9597,-0.121302,-0.293043,0.05392,0.9629,-0.121598,-0.293345,0.052777,0.9609,-0.122229,-0.294314,0.053679,0.9631,-0.146249,-0.29233,0.089649,0.9684,-0.155007,-0.315368,0.041531,0.9702,-0.116457,-0.265972,0.068685,0.9731,-0.119161,-0.269581,0.055036,0.9663,-0.109556,-0.200865,0.096162,0.9976,-0.169523,-0.253946,0.034989,0.9979,-0.069396,-0.148832,-0.083654,0.5776,-0.104508,-0.171625,-0.146542,0.6437,-0.045097,-0.121567,-0.129303,0.542,-0.028861,-0.148187,-0.176458,0.6311,-0.093273,-0.0691,-0.117197,0.5233,-0.049973,-0.159175,-0.127784,0.5986,-0.103453,-0.076796,-0.116999,0.5189,0.033798,-0.240714,-0.157247,0.6029,-0.04704,-0.131653,-0.201961,0.5047,0.008277,-0.203949,-0.185868,0.5787,0.026522,0.006326,0.014773,0.9987,-0.027074,-0.006967,-0.012927,0.999,0.028884,0.332157,0.012131,0.8665,0.031404,0.291792,-0.023511,0.857,0.091536,0.52336,0.018259,0.8351,0.104907,0.540017,-0.025229,0.8803,0.10281,0.550563,0.020015,0.8322,0.102906,0.580381,-0.021057,0.8633,0.114323,0.614883,-0.039801,0.8283,0.131755,0.646528,-0.084527,0.8708
53,1766,0.39641,0.494379,-0.000208,-0.069449,-0.301049,0.082843,0.9596,-0.078527,-0.321811,0.079934,0.9624,-0.079497,-0.321318,0.080135,0.9586,-0.078895,-0.322447,0.081214,0.9627,-0.074011,-0.325737,0.074913,0.9656,-0.074279,-0.326029,0.073812,0.9637,-0.074793,-0.327107,0.074742,0.9657,-0.110662,-0.324551,0.085884,0.97,-0.102014,-0.340946,0.046103,0.9713,-0.077655,-0.296931,0.088124,0.9743,-0.075811,-0.298531,0.074986,0.9679,-0.090767,-0.231025,0.093595,0.9978,-0.115753,-0.272451,0.033148,0.9978,-0.073202,-0.166501,-0.065783,0.6105,-0.073675,-0.181229,-0.121741,0.661,-0.045097,-0.121567,-0.129303,0.4987,-0.012592,-0.161264,-0.136898,0.5723,-0.093273,-0.0691,-0.117197,0.4789,-0.033159,-0.17095,-0.091991,0.5429,-0.103453,-0.076796,-0.116999,0.4752,0.043458,-0.248915,-0.117832,0.5468,-0.04704,-0.131653,-0.201961,0.4625,0.020199,-0.213094,-0.148431,0.5255,0.020082,0.006438,0.017617,0.9988,-0.020609,-0.007104,-0.015742,0.9991,0.007382,0.336921,0.017875,0.877,0.020024,0.29793,-0.016498,0.8701,0.064012,0.53696,0.017867,0.849,0.072576,0.553975,-0.026185,0.8915,0.074358,0.565432,0.019398,0.8477,0.068954,0.594484,-0.022772,0.8763,0.083536,0.631605,-0.039646,0.8347,0.093541,0.661525,-0.083481,0.8793
54,1800,0.393216,0.489674,-0.000259,-0.030522,-0.334076,0.117492,0.9632,-0.039635,-0.356272,0.110347,0.9658,-0.040582,-0.355703,0.110523,0.9624,-0.039899,-0.356895,0.111491,0.966,-0.03099,-0.358188,0.107508,0.9686,-0.03128,-0.358439,0.106364,0.9669,-0.031642,-0.359596,0.107232,0.9686,-0.077107,-0.351698,0.09296,0.9726,-0.050314,-0.362084,0.065395,0.9736,-0.041627,-0.325957,0.116711,0.9764,-0.03489,-0.325459,0.105825,0.9706,-0.070357,-0.252692,0.092951,0.9978,-0.065129,-0.285804,0.048456,0.9978,-0.070007,-0.179592,-0.067284,0.5714,-0.050519,-0.194445,-0.105151,0.6016,-0.045097,-0.121567,-0.129303,0.4718,-0.002229,-0.178715,-0.122699,0.5305,-0.093273,-0.0691,-0.117197,0.4625,-0.021938,-0.187616,-0.080672,0.5135,-0.103453,-0.076796,-0.116999,0.4608,0.049209,-0.261355,-0.107688,0.5179,-0.04704,-0.131653,-0.201961,0.4455,0.020199,-0.213094,-0.148431,0.4979,0.013292,0.005835,0.014861,0.9989,-0.013711,-0.006464,-0.013025,0.9991,-0.012903,0.334682,0.014077,0.8776,0.008985,0.303051,-0.004612,0.8356,0.034594,0.542521,-0.01829,0.8606,0.042363,0.561992,-0.033474,0.8834,0.043696,0.572025,-0.021331,0.8611,0.037011,0.601927,-0.033479,0.8793,0.051652,0.634155,-0.081123,0.8483,0.055961,0.667817,-0.094705,0.8789
55,1833,0.396322,0.484531,-0.000204,0.002599,-0.365094,0.138446,0.9668,-0.005843,-0.388238,0.128702,0.9691,-0.006721,-0.387626,0.128887,0.966,-0.006009,-0.388851,0.129745,0.9693,0.005912,-0.387874,0.127176,0.9716,0.005643,-0.388097,0.12606,0.97,0.005412,-0.389318,0.126871,0.9716,-0.047393,-0.378228,0.097278,0.9751,-0.006769,-0.381094,0.078365,0.9761,-0.010877,-0.353984,0.133935,0.9785,-0.000407,-0.351036,0.124607,0.9733,-0.050288,-0.271701,0.09064,0.9976,-0.021735,-0.299531,0.059924,0.9979,-0.062573,-0.189171,-0.068697,0.5283,-0.031912,-0.209106,-0.089199,0.5483,-0.045097,-0.121567,-0.129303,0.449,-0.002229,-0.178715,-0.122699,0.4947,-0.093273,-0.0691,-0.117197,0.451,-0.021938,-0.187616,-0.080672,0.492,-0.103453,-0.076796,-0.116999,0.4496,0.049209,-0.261355,-0.107688,0.4975,-0.04704,-0.131653,-0.201961,0.4291,0.020199,-0.213094,-0.148431,0.4781,0.007265,0.004618,0.011779,0.999,-0.007572,-0.005196,-0.00996,0.9992,-0.034381,0.332767,0.011436,0.8833,-0.000782,0.307128,0.001714,0.8349,-0.001589,0.547152,-0.041845,0.8723,0.009637,0.567907,-0.051927,0.8912,0.005445,0.577654,-0.048097,0.8736,0.001957,0.606921,-0.05478,0.8868,0.008958,0.63744,-0.106533,0.8597,0.011801,0.67085,-0.116768,0.8862
56,1866,0.401684,0.479239,-7.4e-05,0.028729,-0.395022,0.155163,0.97,0.022339,-0.41837,0.140348,0.9721,0.021545,-0.417727,0.14057,0.9693,0.022222,-0.418959,0.141244,0.9723,0.03556,-0.41678,0.142741,0.9743,0.035332,-0.417001,0.141687,0.973,0.035184,-0.418273,0.142455,0.9743,-0.015574,-0.402883,0.095518,0.9775,0.031998,-0.40188,0.088672,0.9784,0.015555,-0.380878,0.144327,0.9805,0.027811,-0.376844,0.138739,0.9759,-0.025415,-0.290704,0.078161,0.9977,0.016713,-0.313687,0.072911,0.9979,-0.056763,-0.200609,-0.07606,0.5186,-0.01685,-0.224429,-0.066114,0.5073,-0.045097,-0.121567,-0.129303,0.4462,-0.002229,-0.178715,-0.122699,0.4714,-0.093273,-0.0691,-0.117197,0.4577,-0.021938,-0.187616,-0.080672,0.4768,-0.103453,-0.076796,-0.116999,0.4563,0.049209,-0.261355,-0.107688,0.4831,-0.04704,-0.131653,-0.201961,0.4286,0.020199,-0.213094,-0.148431,0.4654,0.002873,0.002982,0.004248,0.9991,-0.003112,-0.003522,-0.002474,0.9993,-0.061978,0.324312,0.004328,0.8939,-0.015923,0.31174,0.007401,0.8461,-0.05242,0.543783,-0.056255,0.8844,-0.028401,0.579279,-0.055787,0.8996,-0.048648,0.574908,-0.064169,0.8849,-0.03824,0.617815,-0.059838,0.8934,-0.053244,0.628967,-0.122042,0.8712,-0.037224,0.673812,-0.121268,0.8912
57,1900,0.404374,0.471,3.6e-05,0.048192,-0.41669,0.163115,0.9729,0.043213,-0.440413,0.144612,0.9748,0.042518,-0.43979,0.144887,0.9723,0.043131,-0.441037,0.145452,0.975,0.056952,-0.438303,0.152779,0.9767,0.05682,-0.438535,0.151807,0.9754,0.056703,-0.439883,0.152605,0.9767,0.013202,-0.420946,0.092705,0.9797,0.063446,-0.419498,0.098969,0.9802,0.03777,-0.400035,0.147847,0.982,0.050623,-0.396023,0.149472,0.9778,-0.002552,-0.305845,0.067219,0.9979,0.053904,-0.325058,0.090923,0.9976,-0.05642,-0.209368,-0.072534,0.551,-0.01685,-0.224429,-0.066114,0.4607,-0.045097,-0.121567,-0.129303,0.4172,-0.002229,-0.178715,-0.122699,0.425,-0.093273,-0.0691,-0.117197,0.4262,-0.021938,-0.187616,-0.080672,0.43,-0.103453,-0.076796,-0.116999,0.4252,0.049209,-0.261355,-0.107688,0.4356,-0.04704,-0.131653,-0.201961,0.3984,0.020199,-0.213094,-0.148431,0.4199,7.2e-05,0.001468,-0.004014,0.9992,-0.000237,-0.001987,0.005748,0.9993,-0.083569,0.315576,-0.01198,0.9008,-0.036225,0.315481,0.011553,0.8357,-0.099114,0.5409,-0.07595,0.8932,-0.074389,0.58893,-0.053781,0.8996,-0.098833,0.572585,-0.084326,0.8885,-0.086835,0.62724,-0.058282,0.8913,-0.116497,0.620593,-0.141756,0.8808,-0.099056,0.673912,-0.117731,0.891
58,1933,0.403267,0.465745,2e-06,0.066771,-0.43807,0.167198,0.9755,0.063722,-0.461853,0.146089,0.9772,0.063147,-0.461262,0.146405,0.975,0.063689,-0.462517,0.146886,0.9774,0.077828,-0.459496,0.159314,0.9789,0.077823,-0.459738,0.158435,0.9777,0.077751,-0.461173,0.159303,0.9789,0.041576,-0.437657,0.089561,0.9816,0.094614,-0.437269,0.10888,0.9819,0.058998,-0.418545,0.148989,0.9834,0.072475,-0.415047,0.15778,0.9796,0.020273,-0.319845,0.056873,0.9981,0.08808,-0.334252,0.108899,0.9976,-0.055872,-0.217609,-0.064652,0.5745,-0.01685,-0.224429,-0.066114,0.4224,-0.045097,-0.121567,-0.129303,0.3894,-0.002229,-0.178715,-0.122699,0.3838,-0.093273,-0.0691,-0.117197,0.3967,-0.021938,-0.187616,-0.080672,0.3885,-0.103453,-0.076796,-0.116999,0.3962,0.049209,-0.261355,-0.107688,0.3936,-0.04704,-0.131653,-0.201961,0.3702,0.020199,-0.213094,-0.148431,0.3798,-0.000801,0.00024,-0.013581,0.9992,0.000709,-0.000743,0.015304,0.9993,-0.102749,0.309284,-0.031716,0.9096,-0.064042,0.312403,0.015354,0.831,-0.137536,0.546233,-0.097923,0.9028,-0.138065,0.585458,-0.052282,0.9036,-0.139804,0.57933,-0.10636,0.8937,-0.153726,0.623137,-0.057298,0.8917,-0.171418,0.622353,-0.163168,0.8912,-0.181688,0.658699,-0.115357,0.8959
59,1966,0.401529,0.463331,3.3e-05,0.089704,-0.453475,0.172473,0.9778,0.087558,-0.477853,0.148426,0.9794,0.087051,-0.477286,0.148789,0.9774,0.087544,-0.478538,0.149217,0.9796,0.102943,-0.474617,0.164799,0.981,0.103045,-0.474883,0.16397,0.9799,0.10301,-0.476355,0.164871,0.981,0.066694,-0.451289,0.08805,0.9834,0.126838,-0.449439,0.116816,0.9836,0.08198,-0.43205,0.151531,0.9849,0.097427,-0.428288,0.164377,0.9815,0.038583,-0.33165,0.049791,0.9983,0.120224,-0.336255,0.120818,0.9976,-0.055312,-0.225364,-0.053584,0.5904,-0.01685,-0.224429,-0.066114,0.3979,-0.045097,-0.121567,-0.129303,0.3593,-0.002229,-0.178715,-0.122699,0.3461,-0.093273,-0.0691,-0.117197,0.3652,-0.021938,-0.187616,-0.080672,0.3505,-0.103453,-0.076796,-0.116999,0.3649,0.049209,-0.261355,-0.107688,0.355,-0.04704,-0.131653,-0.201961,0.3408,0.020199,-0.213094,-0.148431,0.3427,-0.00149,-0.0008,-0.021096,0.9993,0.001462,0.000304,0.022801,0.9993,-0.121368,0.303102,-0.047532,0.9177,-0.089577,0.308255,0.018227,0.841,-0.176448,0.550504,-0.115119,0.9116,-0.195635,0.578946,-0.05015,0.9107,-0.181554,0.585013,-0.123505,0.8988,-0.214229,0.616124,-0.055525,0.8973,-0.225173,0.622021,-0.180713,0.9002,-0.25346,0.642977,-0.11208,0.9014
60,2000,0.397669,0.462841,1e-06,0.115131,-0.465786,0.176682,0.9797,0.112665,-0.491333,0.150199,0.9811,0.112219,-0.490797,0.150615,0.9792,0.112675,-0.492033,0.150999,0.9813,0.129942,-0.486635,0.167896,0.9826,0.130151,-0.48692,0.167086,0.9816,0.130163,-0.488417,0.168034,0.9827,0.08869,-0.465161,0.084223,0.9845,0.158114,-0.458466,0.11562,0.9847,0.105855,-0.443398,0.153595,0.9857,0.123949,-0.438534,0.168638,0.9827,0.053544,-0.346006,0.043089,0.9984,0.153091,-0.335495,0.120866,0.9975,-0.054059,-0.233384,-0.041558,0.6092,-0.01685,-0.224429,-0.066114,0.4309,-0.045097,-0.121567,-0.129303,0.3278,-0.002229,-0.178715,-0.122699,0.3157,-0.093273,-0.0691,-0.117197,0.3322,-0.021938,-0.187616,-0.080672,0.3187,-0.103453,-0.076796,-0.116999,0.3321,0.049209,-0.261355,-0.107688,0.3226,-0.04704,-0.131653,-0.201961,0.3103,0.020199,-0.213094,-0.148431,0.3116,-0.002894,-0.001716,-0.026694,0.9993,0.002889,0.001209,0.028391,0.9992,-0.138829,0.29822,-0.057505,0.9253,-0.109555,0.302543,0.02152,0.849,-0.207625,0.559854,-0.119859,0.9196,-0.245783,0.566665,-0.04015,0.9159,-0.214822,0.595402,-0.127533,0.9058,-0.267585,0.602898,-0.045042,0.9008,-0.266816,0.627009,-0.183242,0.9065,-0.314451,0.621173,-0.099151,0.9018
61,2033,0.390805,0.460816,-9.9e-05,0.143989,-0.475688,0.180036,0.9814,0.140967,-0.502535,0.151344,0.9825,0.140566,-0.502026,0.151827,0.9807,0.141008,-0.503235,0.152173,0.9825,0.1604,-0.496047,0.168807,0.984,0.160694,-0.49634,0.168007,0.9832,0.160749,-0.497851,0.168998,0.9842,0.109949,-0.478012,0.079907,0.9851,0.189075,-0.465319,0.109195,0.9858,0.131294,-0.453002,0.155147,0.9864,0.152131,-0.446431,0.170294,0.9836,0.064863,-0.359781,0.038713,0.9984,0.184838,-0.33308,0.111856,0.9974,-0.0494,-0.241399,-0.028374,0.6187,-0.01685,-0.224429,-0.066114,0.4803,-0.045097,-0.121567,-0.129303,0.2978,-0.002229,-0.178715,-0.122699,0.294,-0.093273,-0.0691,-0.117197,0.301,-0.021938,-0.187616,-0.080672,0.2936,-0.103453,-0.076796,-0.116999,0.3009,0.049209,-0.261355,-0.107688,0.2967,-0.04704,-0.131653,-0.201961,0.2813,0.020199,-0.213094,-0.148431,0.2865,-0.005629,-0.002494,-0.029206,0.9993,0.005622,0.001964,0.030885,0.9991,-0.156552,0.295042,-0.049716,0.9314,-0.124033,0.296488,0.028581,0.858,-0.236754,0.56668,-0.107112,0.9266,-0.281935,0.550166,-0.025875,0.9225,-0.24565,0.602856,-0.114657,0.9126,-0.306108,0.585143,-0.030289,0.9068,-0.301711,0.631688,-0.167768,0.9124,-0.357328,0.600101,-0.081729,0.9068
62,2066,0.38728,0.458947,-0.000157,0.174385,-0.485204,0.183455,0.983,0.170599,-0.513058,0.152404,0.9839,0.170259,-0.512587,0.152974,0.9823,0.17067,-0.513755,0.153268,0.9839,0.192206,-0.505179,0.168968,0.9854,0.192587,-0.505492,0.16818,0.9847,0.192681,-0.507004,0.169204,0.9856,0.132177,-0.491211,0.074799,0.9861,0.220835,-0.471604,0.100963,0.9869,0.158236,-0.462087,0.156743,0.987,0.181805,-0.454563,0.171076,0.9845,0.076727,-0.373836,0.034956,0.9985,0.218961,-0.329294,0.100568,0.9974,-0.041352,-0.250564,-0.01169,0.6206,0.090094,-0.201915,-0.012649,0.5226,-0.045097,-0.121567,-0.129303,0.2719,-0.002229,-0.178715,-0.122699,0.2813,-0.093273,-0.0691,-0.117197,0.274,-0.021938,-0.187616,-0.080672,0.2771,-0.103453,-0.076796,-0.116999,0.274,0.049209,-0.261355,-0.107688,0.2792,-0.04704,-0.131653,-0.201961,0.2565,0.020199,-0.213094,-0.148431,0.2687,-0.010034,-0.003822,-0.029586,0.9994,0.010013,0.003245,0.031234,0.9992,-0.17692,0.291969,-0.036134,0.9351,-0.138942,0.290538,0.040447,0.8587,-0.265618,0.570741,-0.093387,0.9326,-0.318071,0.53166,-0.0086,0.9278,-0.275627,0.607504,-0.101221,0.9196,-0.344667,0.564936,-0.012829,0.9118,-0.333222,0.636502,-0.149813,0.9179,-0.400741,0.578751,-0.06025,0.9108
63,2100,0.384942,0.457869,-0.000156,0.19727,-0.491883,0.187493,0.984,0.193292,-0.520447,0.154886,0.9847,0.192998,-0.520009,0.155536,0.983,0.193374,-0.521137,0.155763,0.9845,0.216289,-0.511843,0.170424,0.9862,0.216738,-0.512183,0.169647,0.9857,0.216856,-0.513686,0.170677,0.9866,0.149582,-0.500611,0.072134,0.9863,0.244503,-0.474187,0.096815,0.9876,0.17848,-0.468494,0.159405,0.9868,0.203851,-0.460252,0.172546,0.9845,0.088242,-0.383611,0.03434,0.9982,0.244329,-0.325494,0.094449,0.9969,-0.02783,-0.256876,0.002061,0.5861,0.11551,-0.197763,-0.00051,0.5422,-0.045097,-0.121567,-0.129303,0.2469,-0.002229,-0.178715,-0.122699,0.2622,-0.093273,-0.0691,-0.117197,0.2487,-0.021938,-0.187616,-0.080672,0.2582,-0.103453,-0.076796,-0.116999,0.2488,0.049209,-0.261355,-0.107688,0.2597,-0.04704,-0.131653,-0.201961,0.2331,0.020199,-0.213094,-0.148431,0.2501,-0.013795,-0.005338,-0.029621,0.9994,0.013764,0.004723,0.031246,0.9991,-0.19323,0.287809,-0.027153,0.9363,-0.15009,0.285756,0.048975,0.8539,-0.288832,0.568878,-0.087637,0.9366,-0.342802,0.515996,0.000832,0.9309,-0.299876,0.605881,-0.095729,0.9246,-0.37117,0.547816,-0.002606,0.9162,-0.35924,0.637398,-0.14269,0.9204,-0.430824,0.561006,-0.049571,0.9124
