frame_idx,timestamp_ms,nose_x,nose_y,nose_z,nose_v,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_v,left_eye_x,left_eye_y,left_eye_z,left_eye_v,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_v,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_v,right_eye_x,right_eye_y,right_eye_z,right_eye_v,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_v,left_ear_x,left_ear_y,left_ear_z,left_ear_v,right_ear_x,right_ear_y,right_ear_z,right_ear_v,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_v,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_v,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_v,left_index_x,left_index_y,left_index_z,left_index_v,right_index_x,right_index_y,right_index_z,right_index_v,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_v,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,left_knee_x,left_knee_y,left_knee_z,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_v,left_heel_x,left_heel_y,left_heel_z,left_heel_v,right_heel_x,right_heel_y,right_heel_z,right_heel_v,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_v,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_v
10,330,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.2,-0.5,0,1.0,0.2,-0.5,0,1.0,-0.4,-0.07926450759605175,0.42073549240394825,1.0,0.4,-0.22984884706593012,0.2701511529340699,1.0,-0.6,0.3414709848078965,0.8414709848078965,1.0,0.6,0.040302305868139765,0.5403023058681398,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.1,0,0,1.0,0.1,0,0,1.0,-0.1,0.6576870748950765,0.2576870748950764,1.0,0.1,0.7059368749137954,0.3059368749137954,1.0,-0.1,1.315374149790153,0.5153741497901528,1.0,0.1,1.4118737498275908,0.6118737498275908,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0
11,363,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.2,-0.5,0,1.0,0.2,-0.5,0,1.0,-0.4,-0.05439631996928229,0.4456036800307177,1.0,0.4,-0.27320193928721137,0.22679806071278866,1.0,-0.6,0.3912073600614354,0.8912073600614354,1.0,0.6,-0.046403878574422686,0.4535961214255773,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.1,0,0,1.0,0.1,0,0,1.0,-0.1,0.6784540954509427,0.2784540954509427,1.0,0.1,0.6871642678443773,0.2871642678443773,1.0,-0.1,1.3569081909018854,0.5569081909018854,1.0,0.1,1.3743285356887547,0.5743285356887546,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0
12,396,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.2,-0.5,0,1.0,0.2,-0.5,0,1.0,-0.4,-0.033980457016386856,0.46601954298361314,1.0,0.4,-0.3188211227616632,0.1811788772383368,1.0,-0.6,0.4320390859672263,0.9320390859672263,1.0,0.6,-0.13764224552332638,0.3623577544766736,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.1,0,0,1.0,0.1,0,0,1.0,-0.1,0.6978572479883438,0.29785724798834373,1.0,0.1,0.6669851303365233,0.26698513033652327,1.0,-0.1,1.3957144959766876,0.5957144959766875,1.0,0.1,1.3339702606730466,0.5339702606730465,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0
13,429,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.2,-0.5,0,1.0,0.2,-0.5,0,1.0,-0.4,-0.01822090729140352,0.4817790927085965,1.0,0.4,-0.3662505856877063,0.13374941431229367,1.0,-0.6,0.46355818541719296,0.963558185417193,1.0,0.6,-0.23250117137541265,0.26749882862458735,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.1,0,0,1.0,0.1,0,0,1.0,-0.1,0.7158014958759802,0.31580149587598016,1.0,0.1,0.6454982997955248,0.24549829979552468,1.0,-0.1,1.4316029917519604,0.6316029917519603,1.0,0.1,1.2909965995910495,0.49099659959104935,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0
14,462,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.2,-0.5,0,1.0,0.2,-0.5,0,1.0,-0.4,-0.007275135005769928,0.49272486499423007,1.0,0.4,-0.41501642854987947,0.08498357145012052,1.0,-0.6,0.48544972998846014,0.9854497299884601,1.0,0.6,-0.33003285709975894,0.16996714290024104,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.1,0,0,1.0,0.1,0,0,1.0,-0.1,0.7321989481967882,0.3321989481967882,1.0,0.1,0.622809018706487,0.22280901870648698,1.0,-0.1,1.4643978963935764,0.6643978963935764,1.0,0.1,1.245618037412974,0.44561803741297396,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0
15,495,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.2,-0.5,0,1.0,0.2,-0.5,0,1.0,-0.4,-0.0012525066979727772,0.4987474933020272,1.0,0.4,-0.46463139916614854,0.03536860083385145,1.0,-0.6,0.49749498660405445,0.9974949866040544,1.0,0.6,-0.4292627983322971,0.0707372016677029,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.1,0,0,1.0,0.1,0,0,1.0,-0.1,0.7469692902376068,0.34696929023760675,1.0,0.1,0.5990284191566909,0.19902841915669087,1.0,-0.1,1.4939385804752137,0.6939385804752135,1.0,0.1,1.1980568383133818,0.39805683831338173,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0
16,528,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.2,-0.5,0,1.0,0.2,-0.5,0,1.0,-0.4,-0.00021319847924744506,0.49978680152075255,1.0,0.4,-0.5145997611506444,-0.014599761150644408,1.0,-0.6,0.4995736030415051,0.9995736030415051,1.0,0.6,-0.5291995223012889,-0.029199522301288815,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.1,0,0,1.0,0.1,0,0,1.0,-0.1,0.760040176870602,0.360040176870602,1.0,0.1,0.5742729785106849,0.1742729785106849,1.0,-0.1,1.520080353741204,0.720080353741204,1.0,0.1,1.1485459570213699,0.3485459570213698,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0
17,561,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.2,-0.5,0,1.0,0.2,-0.5,0,1.0,-0.4,-0.004167594773765715,0.4958324052262343,1.0,0.4,-0.5644222471477623,-0.06442224714776232,1.0,-0.6,0.49166481045246857,0.9916648104524686,1.0,0.6,-0.6288444942955247,-0.12884449429552464,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.1,0,0,1.0,0.1,0,0,1.0,-0.1,0.7713475868996666,0.3713475868996667,1.0,0.1,0.5486639489042132,0.1486639489042132,1.0,-0.1,1.5426951737993333,0.7426951737993334,1.0,0.1,1.0973278978084264,0.2973278978084264,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0
18,594,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.2,-0.5,0,1.0,0.2,-0.5,0,1.0,-0.4,-0.013076184560902426,0.4869238154390976,1.0,0.4,-0.6136010473465435,-0.11360104734654355,1.0,-0.6,0.47384763087819515,0.9738476308781951,1.0,0.6,-0.727202094693087,-0.2272020946930871,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.1,0,0,1.0,0.1,0,0,1.0,-0.1,0.7808361366362063,0.3808361366362063,1.0,0.1,0.5223267633513158,0.12232676335131575,1.0,-0.1,1.5616722732724126,0.7616722732724126,1.0,0.1,1.0446535267026316,0.2446535267026315,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0
19,627,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.2,-0.5,0,1.0,0.2,-0.5,0,1.0,-0.4,-0.026849956156292765,0.47315004384370724,1.0,0.4,-0.6616447834317517,-0.16164478343175168,1.0,-0.6,0.44630008768741447,0.9463000876874145,1.0,0.6,-0.8232895668635034,-0.32328956686350335,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.1,0,0,1.0,0.1,0,0,1.0,-0.1,0.7884593511684179,0.38845935116841784,1.0,0.1,0.4953904213734894,0.09539042137348935,1.0,-0.1,1.5769187023368358,0.7769187023368357,1.0,0.1,0.9907808427469788,0.1907808427469787,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0
